Q(A^-1),I(Q)
7.960000000000000409e-01,3.669510400000003392e-02
8.000000000000000444e-01,3.385555600000000886e-02
8.040000000000000480e-01,3.447204799999997737e-02
8.080000000000000515e-01,3.297152000000003191e-02
8.120000000000000551e-01,3.227350300000003669e-02
8.159999999999999476e-01,3.151725900000001968e-02
8.199999999999999512e-01,3.198612800000000256e-02
8.199999999999999512e-01,3.140901232456115577e-02
8.239999999999999547e-01,3.162721400000001459e-02
8.249999999999999556e-01,3.265240386178446669e-02
8.279999999999999583e-01,2.950290499999996818e-02
8.299999999999999600e-01,3.035039686546861168e-02
8.319999999999999618e-01,3.106277900000004033e-02
8.349999999999999645e-01,2.991588480729672969e-02
8.359999999999999654e-01,3.013049800000000555e-02
8.399999999999999689e-01,2.863511300000004534e-02
8.399999999999999689e-01,2.955951886905689233e-02
8.439999999999999725e-01,2.887291999999996861e-02
8.449999999999999734e-01,2.861243694370266266e-02
8.479999999999999760e-01,2.871686899999997822e-02
8.499999999999999778e-01,2.902519865393258722e-02
8.519999999999999796e-01,2.981610100000003927e-02
8.549999999999999822e-01,2.830515236594146819e-02
8.559999999999999831e-01,2.935072599999999365e-02
8.599999999999999867e-01,2.800830494461912720e-02
8.599999999999999867e-01,2.765668100000001628e-02
8.649999999999999911e-01,2.821043585837900575e-02
8.699999999999999956e-01,2.619106031247103034e-02
8.750000000000000000e-01,2.550891138369393643e-02
8.800000000000000044e-01,2.578787245128968258e-02
8.850000000000000089e-01,2.496829218769382533e-02
8.900000000000000133e-01,2.547091881336158506e-02
8.950000000000000178e-01,2.482950896516630812e-02
9.000000000000000222e-01,2.493867909453742482e-02
9.050000000000000266e-01,2.523950946598812681e-02
9.100000000000000311e-01,2.405468418953718435e-02
9.150000000000000355e-01,2.316501340882385837e-02
9.200000000000000400e-01,2.325467821855573686e-02
9.250000000000000444e-01,2.371645944842521933e-02
9.300000000000000488e-01,2.334143613195206052e-02
9.350000000000000533e-01,2.208907807896466971e-02
9.399999999999999467e-01,2.225490923200719104e-02
9.449999999999999512e-01,2.140573579304974952e-02
9.499999999999999556e-01,2.155752640833157388e-02
9.549999999999999600e-01,2.115961122523164067e-02
9.599999999999999645e-01,2.086637808638232283e-02
9.649999999999999689e-01,2.024948066530975199e-02
9.699999999999999734e-01,2.026043600333133493e-02
9.749999999999999778e-01,1.971546521853979189e-02
9.799999999999999822e-01,1.996763340196879705e-02
9.849999999999999867e-01,1.995974082355069651e-02
9.899999999999999911e-01,1.964761027819505665e-02
9.949999999999999956e-01,1.833702920573546113e-02
1.000000000000000000e+00,1.854810260054043369e-02
1.004999999999999893e+00,1.884272447646864745e-02
1.010000000000000009e+00,1.750654062982867284e-02
1.014999999999999902e+00,1.834621667275794857e-02
1.020000000000000018e+00,1.787459361687074311e-02
1.024999999999999911e+00,1.901710271188654031e-02
1.030000000000000027e+00,1.726638148505572554e-02
1.034999999999999920e+00,1.793659768323507819e-02
1.040000000000000036e+00,1.781936905180697348e-02
1.044999999999999929e+00,1.704125294030863630e-02
1.050000000000000044e+00,1.726087660665561949e-02
1.054999999999999938e+00,1.685389989962025187e-02
1.060000000000000053e+00,1.734453528797995012e-02
1.064999999999999947e+00,1.683815498426765450e-02
1.070000000000000062e+00,1.634296178400927724e-02
1.074999999999999956e+00,1.701931301091036755e-02
1.080000000000000071e+00,1.731136818759874615e-02
1.084999999999999964e+00,1.609420882107447451e-02
1.090000000000000080e+00,1.543168222535730612e-02
1.094999999999999973e+00,1.669125979765452572e-02
1.100000000000000089e+00,1.611853778414222213e-02
1.104999999999999982e+00,1.674581910257193912e-02
1.110000000000000098e+00,1.639064771015928332e-02
1.114999999999999991e+00,1.784710911844481981e-02
1.120000000000000107e+00,1.762689522434312747e-02
1.125000000000000000e+00,1.685575010910163665e-02
1.129999999999999893e+00,1.663888330329925044e-02
1.135000000000000009e+00,1.624285468617963496e-02
1.139999999999999902e+00,1.711338797412877838e-02
1.145000000000000018e+00,1.774404560522058541e-02
1.149999999999999911e+00,1.739997668737802011e-02
1.155000000000000027e+00,1.752824093684792958e-02
1.159999999999999920e+00,1.747450803196586369e-02
1.165000000000000036e+00,1.742250185783415783e-02
1.169999999999999929e+00,1.837198632732714096e-02
1.175000000000000044e+00,1.811101288399271855e-02
1.179999999999999938e+00,1.730482079963963082e-02
1.185000000000000053e+00,1.791867897396397930e-02
1.189999999999999947e+00,1.918403131513043286e-02
1.195000000000000062e+00,1.815153829041448244e-02
1.199999999999999956e+00,1.831911333772195949e-02
1.205000000000000071e+00,1.825915506372690483e-02
1.209999999999999964e+00,1.844916810127348109e-02
1.215000000000000080e+00,1.887173426628735440e-02
1.219999999999999973e+00,1.856050077550280147e-02
1.225000000000000089e+00,1.928945269516903205e-02
1.229999999999999982e+00,1.974450414574403442e-02
1.235000000000000098e+00,1.941042906119478176e-02
1.239999999999999991e+00,2.020755915773378431e-02
1.245000000000000107e+00,2.014807444598188876e-02
1.250000000000000000e+00,2.054139517075995180e-02
1.254999999999999893e+00,2.027352541565125010e-02
1.260000000000000009e+00,2.066593432871479882e-02
1.264999999999999902e+00,2.095655153918956487e-02
1.270000000000000018e+00,2.035800319092034849e-02
1.274999999999999911e+00,2.067154302898297977e-02
1.280000000000000027e+00,2.133691763742372183e-02
1.284999999999999920e+00,2.217356716127875244e-02
1.290000000000000036e+00,2.237460004498887170e-02
1.294999999999999929e+00,2.098418314517160738e-02
1.300000000000000044e+00,2.237566792291842063e-02
1.304999999999999938e+00,2.151716585282916969e-02
1.310000000000000053e+00,2.234449144232491385e-02
1.314999999999999947e+00,2.303469867021205181e-02
1.320000000000000062e+00,2.363688368310507687e-02
1.324999999999999956e+00,2.289173314565318834e-02
1.330000000000000071e+00,2.266842776045640759e-02
1.334999999999999964e+00,2.248329730793501360e-02
1.340000000000000080e+00,2.248419694283180365e-02
1.344999999999999973e+00,2.305112076159696044e-02
1.350000000000000089e+00,2.381232678124039701e-02
1.354999999999999982e+00,2.308064551483939367e-02
1.360000000000000098e+00,2.376852160692648902e-02
1.364999999999999991e+00,2.296784182303379662e-02
1.370000000000000107e+00,2.304357649815305317e-02
1.375000000000000000e+00,2.337697130448063154e-02
1.379999999999999893e+00,2.217482537446767779e-02
1.385000000000000009e+00,2.288009639870539416e-02
1.389999999999999902e+00,2.329123667866667829e-02
1.395000000000000018e+00,2.386653765521391454e-02
1.399999999999999911e+00,2.292315762743607488e-02
1.405000000000000027e+00,2.356048224023338938e-02
1.409999999999999920e+00,2.324911755873310809e-02
1.415000000000000036e+00,2.345839017613849178e-02
1.419999999999999929e+00,2.347789424910354944e-02
1.425000000000000044e+00,2.287548286336901771e-02
1.429999999999999938e+00,2.442485637776456095e-02
1.435000000000000053e+00,2.372313306939564589e-02
1.439999999999999947e+00,2.300106421196625173e-02
1.445000000000000062e+00,2.263327865103724121e-02
1.449999999999999956e+00,2.378212412715507637e-02
1.455000000000000071e+00,2.316917263288626599e-02
1.459999999999999964e+00,2.279036487740741801e-02
1.465000000000000080e+00,2.269884611817158532e-02
1.469999999999999973e+00,2.200977748073455406e-02
1.475000000000000089e+00,2.160656529491002467e-02
1.479999999999999982e+00,2.155788475468436993e-02
1.485000000000000098e+00,2.049628374281163221e-02
1.489999999999999991e+00,2.128426777350868326e-02
1.495000000000000107e+00,2.181295391999446207e-02
1.500000000000000000e+00,2.029119812421018021e-02
1.504999999999999893e+00,1.978179237414329217e-02
1.510000000000000009e+00,2.034386929755647652e-02
1.514999999999999902e+00,1.936032212273235825e-02
1.520000000000000018e+00,1.867824376151372423e-02
1.524999999999999911e+00,1.906852648621790852e-02
1.530000000000000027e+00,1.896124753262239115e-02
1.534999999999999920e+00,2.003391663405094600e-02
1.540000000000000036e+00,1.944987023796019426e-02
1.544999999999999929e+00,1.796849204522337276e-02
1.550000000000000044e+00,1.881641408421136016e-02
1.554999999999999938e+00,1.952125506383356468e-02
1.560000000000000053e+00,1.895081721839537298e-02
1.564999999999999947e+00,1.904762918234837940e-02
1.570000000000000062e+00,1.807651717681877171e-02
1.574999999999999956e+00,1.717544367599913718e-02
1.580000000000000071e+00,1.797850892749322874e-02
1.584999999999999964e+00,1.863925825866619493e-02
1.590000000000000080e+00,1.838698445583891727e-02
1.594999999999999973e+00,1.833179192740296698e-02
1.600000000000000089e+00,1.765333759011148210e-02
1.604999999999999982e+00,1.886504284396899045e-02
1.610000000000000098e+00,1.817354084344707452e-02
