Q(A^-1),I(Q)
7.760000000000000231e-01,2.198217899999999059e-02
7.800000000000000266e-01,2.061064899999998090e-02
7.840000000000000302e-01,2.247228499999998075e-02
7.880000000000000338e-01,2.148951900000001247e-02
7.920000000000000373e-01,2.184919300000004450e-02
7.960000000000000409e-01,2.139573999999999643e-02
8.000000000000000444e-01,2.128983600000000642e-02
8.040000000000000480e-01,2.094083000000002137e-02
8.080000000000000515e-01,2.025772199999997802e-02
8.120000000000000551e-01,1.969949900000000920e-02
8.159999999999999476e-01,1.874740899999999266e-02
8.199999999999999512e-01,1.902635353966367765e-02
8.199999999999999512e-01,2.189730400000000632e-02
8.239999999999999547e-01,1.813164999999999916e-02
8.249999999999999556e-01,1.927086724129228185e-02
8.279999999999999583e-01,1.737581799999998733e-02
8.299999999999999600e-01,1.867549540324187768e-02
8.319999999999999618e-01,1.768545100000001868e-02
8.349999999999999645e-01,1.819844387094211521e-02
8.359999999999999654e-01,1.727097599999999344e-02
8.399999999999999689e-01,1.848222399999999155e-02
8.399999999999999689e-01,1.836503585851129161e-02
8.439999999999999725e-01,1.728799000000003083e-02
8.449999999999999734e-01,1.854996475013368298e-02
8.479999999999999760e-01,1.739373499999996575e-02
8.499999999999999778e-01,1.838891113446876682e-02
8.519999999999999796e-01,1.691817899999997765e-02
8.549999999999999822e-01,1.699809526759901712e-02
8.559999999999999831e-01,1.940833599999997050e-02
8.599999999999999867e-01,1.963907100000000794e-02
8.599999999999999867e-01,1.738288802505632766e-02
8.649999999999999911e-01,1.670207971350114867e-02
8.699999999999999956e-01,1.643882906224695267e-02
8.750000000000000000e-01,1.656142349971529218e-02
8.800000000000000044e-01,1.536728147776113967e-02
8.850000000000000089e-01,1.620191044221002200e-02
8.900000000000000133e-01,1.559567061627089440e-02
8.950000000000000178e-01,1.580484225596873182e-02
9.000000000000000222e-01,1.506737466613558910e-02
9.050000000000000266e-01,1.512292669648182541e-02
9.100000000000000311e-01,1.507034429451801355e-02
9.150000000000000355e-01,1.489877591786691220e-02
9.200000000000000400e-01,1.497714864724244629e-02
9.250000000000000444e-01,1.461469188855418766e-02
9.300000000000000488e-01,1.484016025886314080e-02
9.350000000000000533e-01,1.549563118641720735e-02
9.399999999999999467e-01,1.421812242095399012e-02
9.449999999999999512e-01,1.404440539853561709e-02
9.499999999999999556e-01,1.429169149582654348e-02
9.549999999999999600e-01,1.405799215837756633e-02
9.599999999999999645e-01,1.433181468758046827e-02
9.649999999999999689e-01,1.388189058216559961e-02
9.699999999999999734e-01,1.344556934185216733e-02
9.749999999999999778e-01,1.373098048991390138e-02
9.799999999999999822e-01,1.362492302362467052e-02
9.849999999999999867e-01,1.295714196158661777e-02
9.899999999999999911e-01,1.366835155902925911e-02
9.949999999999999956e-01,1.275105180243250869e-02
1.000000000000000000e+00,1.319771477426817316e-02
1.004999999999999893e+00,1.291345385930263781e-02
1.010000000000000009e+00,1.265874369105569885e-02
1.014999999999999902e+00,1.250447839689926462e-02
1.020000000000000018e+00,1.261207389278641566e-02
1.024999999999999911e+00,1.274725415956111385e-02
1.030000000000000027e+00,1.255017001614738836e-02
1.034999999999999920e+00,1.282016711523537716e-02
1.040000000000000036e+00,1.266903281962475369e-02
1.044999999999999929e+00,1.256893572840541047e-02
1.050000000000000044e+00,1.257120339430864084e-02
1.054999999999999938e+00,1.259841445512561130e-02
1.060000000000000053e+00,1.235435816555000878e-02
1.064999999999999947e+00,1.207982716371373659e-02
1.070000000000000062e+00,1.220710827706088068e-02
1.074999999999999956e+00,1.223806678224323256e-02
1.080000000000000071e+00,1.226868462716220083e-02
1.084999999999999964e+00,1.156839471322287233e-02
1.090000000000000080e+00,1.151373099001313377e-02
1.094999999999999973e+00,1.171040798793024536e-02
1.100000000000000089e+00,1.176066789805815978e-02
1.104999999999999982e+00,1.179307964204971866e-02
1.110000000000000098e+00,1.198176155816973662e-02
1.114999999999999991e+00,1.147525418676502602e-02
1.120000000000000107e+00,1.163683569200580324e-02
1.125000000000000000e+00,1.138301904809212693e-02
1.129999999999999893e+00,1.112312103551119265e-02
1.135000000000000009e+00,1.131092353641260928e-02
1.139999999999999902e+00,1.125207060837465911e-02
1.145000000000000018e+00,1.145750047457307075e-02
1.149999999999999911e+00,1.147717847038916099e-02
1.155000000000000027e+00,1.106012000508195536e-02
1.159999999999999920e+00,1.170269830947809515e-02
1.165000000000000036e+00,1.126064228114497315e-02
1.169999999999999929e+00,1.125835048003596267e-02
1.175000000000000044e+00,1.149363829510694976e-02
1.179999999999999938e+00,1.020995534024151871e-02
1.185000000000000053e+00,1.140284775284348788e-02
1.189999999999999947e+00,1.099549404470387404e-02
1.195000000000000062e+00,1.078323795292855138e-02
1.199999999999999956e+00,1.064126775411941388e-02
1.205000000000000071e+00,1.025750253490113548e-02
1.209999999999999964e+00,1.104933830509057489e-02
1.215000000000000080e+00,1.090187083681407564e-02
1.219999999999999973e+00,1.124973055953760494e-02
1.225000000000000089e+00,1.082934111826528226e-02
1.229999999999999982e+00,1.093529462623865807e-02
1.235000000000000098e+00,1.141807870089515779e-02
1.239999999999999991e+00,1.018264615075898868e-02
1.245000000000000107e+00,1.142719030816084433e-02
1.250000000000000000e+00,1.104115740035574444e-02
1.254999999999999893e+00,1.136411306129229103e-02
1.260000000000000009e+00,1.084120037353395599e-02
1.264999999999999902e+00,1.115391095718856751e-02
1.270000000000000018e+00,1.112129767061875371e-02
1.274999999999999911e+00,1.115428813782923245e-02
1.280000000000000027e+00,1.073282075566076889e-02
1.284999999999999920e+00,1.078811848169120881e-02
1.290000000000000036e+00,1.075125658230074999e-02
1.294999999999999929e+00,1.058459332328745561e-02
1.300000000000000044e+00,1.057710176902583454e-02
1.304999999999999938e+00,1.122189819863972891e-02
1.310000000000000053e+00,1.082983593535058464e-02
1.314999999999999947e+00,1.083104348956037515e-02
1.320000000000000062e+00,1.096195497791491169e-02
1.324999999999999956e+00,1.081399375867595977e-02
1.330000000000000071e+00,1.204997130171992815e-02
1.334999999999999964e+00,1.189021685877623795e-02
1.340000000000000080e+00,1.158706649325615644e-02
1.344999999999999973e+00,1.235342766717027058e-02
1.350000000000000089e+00,1.134957958439385996e-02
1.354999999999999982e+00,1.272785052024300555e-02
1.360000000000000098e+00,1.141661892924833617e-02
1.364999999999999991e+00,1.068376259277589030e-02
1.370000000000000107e+00,1.163488182914451489e-02
1.375000000000000000e+00,1.140630217221999705e-02
1.379999999999999893e+00,1.205853483112664763e-02
1.385000000000000009e+00,1.101602099184629049e-02
1.389999999999999902e+00,1.129336011580080699e-02
1.395000000000000018e+00,1.079473958070259650e-02
1.399999999999999911e+00,1.186112096087919496e-02
1.405000000000000027e+00,1.224748792805961661e-02
1.409999999999999920e+00,1.211080817089249702e-02
